issue,id,reporter,closed_by,created_at,updated_at,closed_at,state,assignee,milestone,comments,label_name,url,title,body
7157,294108647,astrofrog,saimn,2018-02-03 12:52:56,2018-02-05 17:19:57,2018-02-05 17:19:56,closed,,v3.0.0,13,Affects-dev;Bug;Critical;Ready-for-final-review;io.fits;no-changelog-entry-needed,https://api.github.com/repos/astropy/astropy/issues/7157,b'Alternate fix for FITS regression with table keywords',"b'This is an alternative to https://github.com/astropy/astropy/pull/7153 to fix #7145 - basically it just prevents time-related keywords from being automatically removed from the Header. Time-related keywords can still be overwritten if the corresponding attributes are set on Column objects, but this doesn\'t affect backward-compatibility since those Column attributes didn\'t exist before. This approach thus guarantees full backward-compatibility (unless I\'ve overlooked something), and emits a deprecation warning to mention that these keywords will be dropped in future. Example usage:\r\n\r\n```python\r\nIn [1]: import astropy\r\n   ...: from astropy.io import fits\r\n   ...: import numpy as np\r\n   ...: \r\n   ...: def create_column_descriptions():\r\n   ...:     col = []\r\n   ...:     col.append(fits.Column(name=""TIME"", format=""1E"", unit=""s""))\r\n   ...:     col.append(fits.Column(name=""RAWX"", format=""1I"", unit=""pixel""))\r\n   ...:     cd = fits.ColDefs(col)\r\n   ...: \r\n   ...:     return cd\r\n   ...: \r\n   ...: def create_header():\r\n   ...:     hdr = fits.Header()\r\n   ...:     hdr[\'RA\'] = (1.581250000000E+00, \'RA of reference aperture center \')\r\n   ...:     hdr[\'DEC\'] = (2.020277777778E+01, \'Declination of reference aperture center\')\r\n   ...:     hdr[\'TCTYP2\'] = (\'RA---TAN\', \'axis type for dimension 1\')\r\n   ...:     hdr[\'TCRVL2\'] = (-999.0, \'sky coordinates of 1st axis\')\r\n   ...: \r\n   ...:     return hdr\r\n   ...: \r\n   ...: columns = create_column_descriptions()\r\n   ...: header = create_header()\r\n   ...: \r\n\r\nIn [2]: print(header.tostring(sep=\'\\n\'))\r\n   ...: print(columns)\r\n   ...: \r\nRA      =              1.58125 / RA of reference aperture center                \r\nDEC     =       20.20277777778 / Declination of reference aperture center       \r\nTCTYP2  = \'RA---TAN\'           / axis type for dimension 1                      \r\nTCRVL2  =               -999.0 / sky coordinates of 1st axis                    \r\nEND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         \r\nColDefs(\r\n    name = \'TIME\'; format = \'1E\'; unit = \'s\'\r\n    name = \'RAWX\'; format = \'1I\'; unit = \'pixel\'\r\n)\r\n```\r\n\r\nSo far so good. Let\'s make a new HDU from the columns and header:\r\n\r\n```python\r\nIn [3]: hdu = fits.BinTableHDU.from_columns(columns, header)\r\n   ...: \r\n/Users/tom/Dropbox/Code/Astropy/astropy/astropy/io/fits/hdu/table.py:341: UserWarning: The following keywords are now recognized as special column-related attributes and should be set via the Column objects: TCRVLn, TCTYPn. In future, these values will be dropped from manually specified headers automatically and replaced with values generated based on the Column objects.\r\n  ""Column objects."".format(keys))\r\n```\r\n\r\nWe see that this causes the above warning. The header still contains those keywords, and the columns don\'t (consistent with previous behavior):\r\n\r\n```\r\nIn [4]: print(hdu.header.tostring(sep=\'\\n\'))\r\n   ...: print(hdu.columns)\r\n   ...: \r\nXTENSION= \'BINTABLE\'           / binary table extension                         \r\nBITPIX  =                    8 / array data type                                \r\nNAXIS   =                    2 / number of array dimensions                     \r\nNAXIS1  =                    6 / length of dimension 1                          \r\nNAXIS2  =                    0 / length of dimension 2                          \r\nPCOUNT  =                    0 / number of group parameters                     \r\nGCOUNT  =                    1 / number of groups                               \r\nTFIELDS =                    2 / number of table fields                         \r\nRA      =              1.58125 / RA of reference aperture center                \r\nDEC     =       20.20277777778 / Declination of reference aperture center       \r\nTCTYP2  = \'RA---TAN\'           / axis type for dimension 1                      \r\nTCRVL2  =               -999.0 / sky coordinates of 1st axis                    \r\nTTYPE1  = \'TIME    \'                                                            \r\nTFORM1  = \'1E      \'                                                            \r\nTUNIT1  = \'s       \'                                                            \r\nTTYPE2  = \'RAWX    \'                                                            \r\nTFORM2  = \'1I      \'                                                            \r\nTUNIT2  = \'pixel   \'                                                            \r\nEND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           \r\nColDefs(\r\n    name = \'TIME\'; format = \'1E\'; unit = \'s\'\r\n    name = \'RAWX\'; format = \'1I\'; unit = \'pixel\'\r\n)\r\n```\r\n\r\nNow let\'s write out the file and read in back in:\r\n\r\n```python\r\nIn [5]: hdu.writeto(\'time.fits\', overwrite=True)\r\n   ...: \r\n   ...: hdu2 = fits.open(\'time.fits\')[1]\r\n   ...: \r\n\r\nIn [6]: print(hdu2.header.tostring(sep=\'\\n\'))\r\n   ...: print(hdu2.columns)\r\n   ...: \r\nXTENSION= \'BINTABLE\'           / binary table extension                         \r\nBITPIX  =                    8 / array data type                                \r\nNAXIS   =                    2 / number of array dimensions                     \r\nNAXIS1  =                    6 / length of dimension 1                          \r\nNAXIS2  =                    0 / length of dimension 2                          \r\nPCOUNT  =                    0 / number of group parameters                     \r\nGCOUNT  =                    1 / number of groups                               \r\nTFIELDS =                    2 / number of table fields                         \r\nRA      =              1.58125 / RA of reference aperture center                \r\nDEC     =       20.20277777778 / Declination of reference aperture center       \r\nTCTYP2  = \'RA---TAN\'           / axis type for dimension 1                      \r\nTCRVL2  =               -999.0 / sky coordinates of 1st axis                    \r\nTTYPE1  = \'TIME    \'                                                            \r\nTFORM1  = \'1E      \'                                                            \r\nTUNIT1  = \'s       \'                                                            \r\nTTYPE2  = \'RAWX    \'                                                            \r\nTFORM2  = \'1I      \'                                                            \r\nTUNIT2  = \'pixel   \'                                                            \r\nEND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           \r\nColDefs(\r\n    name = \'TIME\'; format = \'1E\'; unit = \'s\'\r\n    name = \'RAWX\'; format = \'1I\'; unit = \'pixel\'; coord_type = \'RA---TAN\'; coord_ref_value = -999.0\r\n)\r\n```\r\n\r\nAt this point, the new column attributes are picked up (as expected) and they are still in the header as everything is now in sync. No warning was emitted when reading a file.\r\n\r\nLet\'s just set a column attribute:\r\n\r\n```python\r\nIn [9]: hdu2.columns[1].coord_type = \'DEC--TAN\'\r\n\r\nIn [10]: hdu2.header[\'TCTYP2\']\r\nOut[10]: \'DEC--TAN\'\r\n```\r\n\r\nThe attributes in the header are now kept in sync and are not cleared by default when initializing from a header.'"
7156,294045730,duncanmmacleod,astrofrog,2018-02-02 22:40:51,2018-02-05 19:45:14,2018-02-05 14:28:58,closed,,v2.0.4,4,Affects-release;Bug;io.registry,https://api.github.com/repos/astropy/astropy/issues/7156,b'Improved inherited registration handling in astropy.io',"b""This PR patches the internal `_is_best_match` method to handle the case where multiple ancestors of a class are registered for a given format.\r\n\r\nThe modified logic nows returns `True` (best match) if\r\n\r\n1. the target class and registered class are the same\r\n1. the target class is not registered, and the registered class is the nearest registered ancestor of the target class\r\n\r\nThis means that if `Child` is not registered, but both `Parent` and `Grandparent` are, only `Parent` will be identified as the 'best match'. Without this patch, both `Parent` and `Grandparent` would be 'best match' resulting in a 'Format is ambiguous' `IORegistryError`."""
7153,293941111,astrofrog,saimn,2018-02-02 16:14:55,2018-02-05 17:20:55,2018-02-05 17:20:50,closed,,v3.0.0,14,Affects-dev;Bug;Critical;io.fits,https://api.github.com/repos/astropy/astropy/issues/7153,b'Possible fix for FITS regression with table keywords',"b'I\'m not too familiar with the FITS code base, but I was intrigued by https://github.com/astropy/astropy/issues/7145 so here\'s a possible fix, though if we agree on it it would need to be cleaned up and have tests etc. But since this is still new to me, feel free to close this.\r\n\r\nI started from @stscirij\'s example, shortened:\r\n\r\n```python\r\nimport astropy\r\nfrom astropy.io import fits\r\nimport numpy as np\r\n\r\ndef create_column_descriptions():\r\n    col = []\r\n    col.append(fits.Column(name=""TIME"", format=""1E"", unit=""s""))\r\n    col.append(fits.Column(name=""RAWX"", format=""1I"", unit=""pixel""))\r\n    cd = fits.ColDefs(col)\r\n\r\n    return cd\r\n\r\ndef create_header():\r\n    hdr = fits.Header()\r\n    hdr[\'RA\'] = (1.581250000000E+00, \'RA of reference aperture center \')\r\n    hdr[\'DEC\'] = (2.020277777778E+01, \'Declination of reference aperture center\')\r\n    hdr[\'TCTYP2\'] = (\'RA---TAN\', \'axis type for dimension 1\')\r\n    hdr[\'TCRVL2\'] = (-999.0, \'sky coordinates of 1st axis\')\r\n\r\n    return hdr\r\n\r\ncolumns = create_column_descriptions()\r\nheader = create_header()\r\n\r\nprint(""Header and columns before:"")\r\nprint(header)\r\nprint(columns)\r\n\r\nhdu = fits.BinTableHDU.from_columns(columns, header)\r\n\r\nprint(""Header and columns after:"")\r\nprint(hdu.header)\r\nprint(hdu.columns)\r\n```\r\n\r\nWith Astropy master this gives:\r\n\r\n```\r\nHeader and columns before:\r\nRA      =              1.58125 / RA of reference aperture center                \r\nDEC     =       20.20277777778 / Declination of reference aperture center       \r\nTCTYP2  = \'RA---TAN\'           / axis type for dimension 1                      \r\nTCRVL2  =               -999.0 / sky coordinates of 1st axis                    \r\nEND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             \r\nColDefs(\r\n    name = \'TIME\'; format = \'1E\'; unit = \'s\'\r\n    name = \'RAWX\'; format = \'1I\'; unit = \'pixel\'\r\n)\r\nHeader and columns after:\r\nXTENSION= \'BINTABLE\'           / binary table extension                         \r\nBITPIX  =                    8 / array data type                                \r\nNAXIS   =                    2 / number of array dimensions                    \r\nNAXIS1  =                    6 / length of dimension 1                          \r\nNAXIS2  =                    0 / length of dimension 2                          \r\nPCOUNT  =                    0 / number of group parameters                     \r\nGCOUNT  =                    1 / number of groups                               \r\nTFIELDS =                    2 / number of table fields                        \r\nRA      =              1.58125 / RA of reference aperture center                \r\nDEC     =       20.20277777778 / Declination of reference aperture center       \r\nTTYPE1  = \'TIME    \'                                                            \r\nTFORM1  = \'1E      \'                                                           \r\nTUNIT1  = \'s       \'                                                            \r\nTTYPE2  = \'RAWX    \'                                                            \r\nTFORM2  = \'1I      \'                                                            \r\nTUNIT2  = \'pixel   \'                                                            \r\nEND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             \r\nColDefs(\r\n    name = \'TIME\'; format = \'1E\'; unit = \'s\'\r\n    name = \'RAWX\'; format = \'1I\'; unit = \'pixel\'\r\n)\r\n```\r\n\r\nTechnically speaking, this is what the docstring of ``Header`` says it does:\r\n\r\n```\r\n            Header\r\n            keywords specifically related to defining the table structure (such\r\n            as the ""TXXXn"" keywords like TTYPEn) will be overridden by the\r\n            supplied column definitions, but all other informational and data\r\n            model-specific keywords are kept.\r\n```\r\n\r\nHowever, there are three possible meanings in my view for ``from_columns(columns, header)`` from a user point of view:\r\n\r\n1. Any column keywords in Header are ignored even the corresponding attributes are missing from ``columns``\r\n\r\n2. Any column keywords present in Header should override attributes in ``columns``\r\n\r\n3. Any column keywords present in Header for which the corresponding attribute in ``columns`` is ``None`` should be passed to ``columns``.\r\n\r\nThe current behavior is 1), and this breaks compatibility because more keywords are now recognized as column keywords.\r\n\r\nArguably, the docstring above could be interpreted as option 3) as well.\r\n\r\nThe present PR implements 3 with a twist: it copies over keywords that are in the header to the Column object **only** if this is one of the new keywords added in 3.0 and only if the Column doesn\'t already have that attribute set. With this, here is the result:\r\n\r\n```\r\nHeader and columns after:\r\nXTENSION= \'BINTABLE\'           / binary table extension                         \r\nBITPIX  =                    8 / array data type                                \r\nNAXIS   =                    2 / number of array dimensions                     \r\nNAXIS1  =                    6 / length of dimension 1                          \r\nNAXIS2  =                    0 / length of dimension 2                          \r\nPCOUNT  =                    0 / number of group parameters                     \r\nGCOUNT  =                    1 / number of groups                               \r\nTFIELDS =                    2 / number of table fields                         \r\nRA      =              1.58125 / RA of reference aperture center                \r\nDEC     =       20.20277777778 / Declination of reference aperture center       \r\nTTYPE1  = \'TIME    \'                                                            \r\nTFORM1  = \'1E      \'                                                            \r\nTUNIT1  = \'s       \'                                                            \r\nTTYPE2  = \'RAWX    \'                                                            \r\nTFORM2  = \'1I      \'                                                            \r\nTUNIT2  = \'pixel   \'                                                            \r\nTCTYP2  = \'RA---TAN\'                                                            \r\nTCRVL2  =               -999.0                                                  \r\nEND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             \r\nColDefs(\r\n    name = \'TIME\'; format = \'1E\'; unit = \'s\'\r\n    name = \'RAWX\'; format = \'1I\'; unit = \'pixel\'; coord_type = \'RA---TAN\'; coord_ref_value = -999.0\r\n)\r\n```\r\n\r\nI personally think this makes more sense than the current behavior.\r\n\r\nNote that this can still break API in more subtle ways - for instance if a column is removed, then the matching TCTYP will be removed whereas it wasn\'t beforehand.\r\n\r\nIn future we could then move to having a keyword argument to better control the behavior between options 1, 2, and 3?\r\n\r\ncc @saimn @eteq @stscirij @aaryapatil \r\n\r\nEDIT: edited multiple times as I\'ve edited this PR'"
7148,293719141,mhvk,astrofrog,2018-02-01 23:19:12,2018-02-05 15:20:23,2018-02-05 14:28:10,closed,,v2.0.4,2,Affects-release;Bug;coordinates,https://api.github.com/repos/astropy/astropy/issues/7148,b'Ensure that negative angles are rounded correctly to degrees.',b'fixes #7141'
7147,293717131,taldcroft,taldcroft,2018-02-01 23:10:06,2018-02-04 14:42:53,2018-02-02 00:48:46,closed,,v3.0.0,2,Bug;io.fits;table,https://api.github.com/repos/astropy/astropy/issues/7147,b'Fix bug in FITS column meta serialization: ignored without mixins',"b'The new machinery to serialize mixins along with column meta is being by-passed for a pure-columns (no mixins) table.\r\n\r\nHowever, the intent (in #6912) was to use this machinery if there is any column meta (`format`, `description`, or `meta`) that would be lost.  This PR fixes that.\r\n\r\nThis might address #6806, but takes an end-run around `TDISP`.'"
7145,293690641,stscirij,saimn,2018-02-01 21:31:33,2018-02-05 17:19:56,2018-02-05 17:19:56,closed,astrofrog,v3.0.0,21,Affects-dev;Bug;Critical;io.fits,https://api.github.com/repos/astropy/astropy/issues/7145,b'New FITS table column attributes break existing code',"b'Change in behaviour of binTableHDU.fromcolumns:\r\n\r\nVersion 2.0.3: passing a header containing keywords with names like ""TCRPX2"" to from_columns creates an hdu object with these keywords in the header\r\n\r\nVersion 3.dev: passing a header with such keywords results in them not making it to the header of the output\r\n\r\nThis code demonstrates:\r\n\r\n```python\r\n#! /usr/bin/env python\r\nimport astropy\r\nfrom astropy.io import fits\r\nimport numpy as np\r\n\r\ndef test_fromcolumns():\r\n    print(astropy.__version__)\r\n    cd = create_column_descriptions()\r\n    header = create_header()\r\n\r\n    print(""Header that is input to fits.BinTableHDU.from_columns:"")\r\n    print(header)\r\n\r\n    hdu = fits.BinTableHDU.from_columns(cd, header)\r\n\r\n    print(""Header of hdu object returned from fits.BinTableHDU.from_columns:"")\r\n    print(hdu.header)\r\n\r\n    return\r\n\r\ndef create_column_descriptions():\r\n    col = []\r\n    col.append(fits.Column(name=""TIME"", format=""1E"", unit=""s""))\r\n    col.append(fits.Column(name=""RAWX"", format=""1I"", unit=""pixel""))\r\n    col.append(fits.Column(name=""RAWY"", format=""1I"", unit=""pixel""))\r\n    cd = fits.ColDefs(col)\r\n\r\n    return cd\r\n\r\ndef create_header():\r\n    hdr = fits.Header()\r\n    hdr[\'RA\'] = (1.581250000000E+00, \'RA of reference aperture center \')\r\n    hdr[\'DEC\'] = (2.020277777778E+01, \'Declination of reference aperture center\')\r\n    hdr[\'TCTYP2\'] = (\'RA---TAN\', \'axis type for dimension 1\')\r\n    hdr[\'TCTYP3\'] = (\'ANGLE   \', \'axis type for dimension 2\')\r\n    hdr[\'TCRVL2\'] = (-999.0, \'sky coordinates of 1st axis\')\r\n    hdr[\'TCRVL3\'] = (-999.0, \'sky coordinates of 2nd axis\')\r\n    hdr[\'TCRPX2\'] = (1.0, \'axis1 pixel of tangent plane direction\')\r\n    hdr[\'TCRPX3\'] = (1.0, \'axis2 pixel of tangent plane direction\')\r\n    hdr[\'TALEN2\'] = (16384, \'length of axis 1\')\r\n    hdr[\'TALEN3\'] = (1024, \'length of axis 2\')\r\n    hdr[\'TC2_2\'] = (0.0, \'partial of first axis coordinate w.r.t. x\')\r\n    hdr[\'TC2_3\'] = (0.0, \'partial of first axis coordinate w.r.t. y\')\r\n    hdr[\'TC3_2\'] = (0.0, \'partial of second axis coordinate w.r.t. x\')\r\n    hdr[\'TC3_3\'] = (0.0, \'partial of second axis coordinate w.r.t. y\')\r\n    hdr[\'TCUNI2\'] = (\'angstrom\', \'units of first coordinate value\')\r\n    hdr[\'TCUNI3\'] = (\'deg     \', \'units of second coordinate value\')\r\n\r\n    return hdr\r\n\r\n```\r\n\r\nEdit: Added syntax highlighting.'"
7141,293350164,jrthorstensen,astrofrog,2018-01-31 23:29:35,2018-02-05 14:28:10,2018-02-05 14:28:10,closed,,,3,Bug;coordinates,https://api.github.com/repos/astropy/astropy/issues/7141,b'Bug in rounded negative sexagesimal output',"b""There is a bug in sexagesimal_to_string in astropy.coordinates.angle_utilities.\r\nIf a coordinate is negative, and is rounded by carrying a 60 up to the next field, the\r\nsign is not handled correctly.   For example:\r\n```python\r\n>>> from astropy import coordinates as coo\r\n\r\n>>> coo.angle_utilities.sexagesimal_to_string((-0.,59,59))\r\nu'-0:59:59'\r\n>>> coo.angle_utilities.sexagesimal_to_string((-0.,59,59),precision=0)\r\nu'1:00:00'\r\n>>> coo.angle_utilities.sexagesimal_to_string((-1.,59,59),precision=0)\r\nu'0:00:00'\r\n>>> coo.angle_utilities.sexagesimal_to_string((-2.,59,59),precision=0)\r\nu'-1:00:00'\r\n```\r\nApparently the value of the 'degrees' field is incremented even if it's negative.\r\n\r\nThis can be handled by splitting out the sign explicitly and making everything\r\npositive at first (extending what is done presently with the minute and second fields\r\nto the degree field as well), doing the formatting, and then tacking on the minus or \r\nplus sign at the end as needed.  \r\n\r\nIt might be worth carrying a sign explicitly in the sexagesimal representation.  This\r\nother problem then could be avoided:\r\n```python\r\n>>> coo.angle_utilities.sexagesimal_to_string((-0,30,30),precision=0)\r\nu'0:30:30'\r\n```\r\n... the integer -0 has the sign stripped away.\r\n\r\nEDIT: Code formatting."""
7132,292719344,astrofrog,astrofrog,2018-01-30 09:58:01,2018-01-30 18:49:22,2018-01-30 14:01:55,closed,,v2.0.4,4,Bug;visualization.wcsaxes,https://api.github.com/repos/astropy/astropy/issues/7132,b'Make sure local matplotlibrc files are ignored for WCSAxes tests',"b""In particular those that don't use pytest-mpl but use Matplotlib (pytest-mpl already ignores local matplotlibrc files)\r\n\r\n@pllim - this will fix four of the issues you were seeing with RC2:\r\n\r\nFixes https://github.com/astropy/astropy/issues/6309\r\nFixes https://github.com/astropy/astropy/issues/7130\r\n\r\n@bsipocz - I'm milestoning this as 2.0.4 as it should be backported to 2.0.x but if we can get this in 3.0 that would be great (I'll leave it up to you)"""
7131,292540319,pllim,astrofrog,2018-01-29 19:58:50,2018-01-30 18:53:41,2018-01-29 23:50:53,closed,,v3.0.0,3,Bug;modeling;no-changelog-entry-needed;platform-i386;testing,https://api.github.com/repos/astropy/astropy/issues/7131,b'Fix blackbody overflow bug in 32-bit',"b'Fix #7129 \r\n\r\nProbably not worth backporting to 3.0? If you feel otherwise, feel free to re-milestone.'"
7129,292237645,astrofrog,astrofrog,2018-01-28 20:56:26,2018-01-29 23:50:53,2018-01-29 23:50:53,closed,pllim,,6,Bug;modeling;platform-i386;testing,https://api.github.com/repos/astropy/astropy/issues/7129,b'Test failure with test_blackbody_scipy on 32-bit',"b'I\'m seeing the following failure on the new 32-bit CircleCI set-up (#7126):\r\n\r\n```python\r\n_____________________________ test_blackbody_scipy _____________________________\r\n[gw2] linux -- Python 3.6.4 /opt/python/cp36-cp36m/bin/python\r\n\r\n    @pytest.mark.skipif(\'not HAS_SCIPY\')\r\n    def test_blackbody_scipy():\r\n        """"""Test Planck function.\r\n    \r\n        .. note:: Needs ``scipy`` to work.\r\n    \r\n        """"""\r\n        flux_unit = u.Watt / (u.m ** 2 * u.um)\r\n        wave = np.logspace(0, 8, 100000) * u.AA\r\n        temp = 100. * u.K\r\n        with np.errstate(all=\'ignore\'):\r\n            bb_nu = blackbody_nu(wave, temp) * u.sr\r\n        flux = bb_nu.to(flux_unit, u.spectral_density(wave)) / u.sr\r\n    \r\n        lum = wave.to(u.um)\r\n        intflux = integrate.trapz(flux.value, x=lum.value)\r\n        ans = const.sigma_sb * temp ** 4 / np.pi\r\n>       np.testing.assert_allclose(intflux, ans.value, rtol=0.01)  # 1% accuracy\r\n\r\nastropy/modeling/tests/test_blackbody.py:73: \r\n_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ \r\n\r\nx_id = True, y_id = False, hasval = \'nan\'\r\n\r\n    def chk_same_position(x_id, y_id, hasval=\'nan\'):\r\n        """"""Handling nan/inf: check that x and y have the nan/inf at the same\r\n            locations.""""""\r\n        try:\r\n            assert_array_equal(x_id, y_id)\r\n        except AssertionError:\r\n            msg = build_err_msg([x, y],\r\n                                err_msg + \'\\nx and y %s location mismatch:\'\r\n                                % (hasval), verbose=verbose, header=header,\r\n                                names=(\'x\', \'y\'), precision=precision)\r\n>           raise AssertionError(msg)\r\nE           AssertionError: \r\nE           Not equal to tolerance rtol=0.01, atol=0\r\nE           \r\nE           x and y nan location mismatch:\r\nE            x: array(nan)\r\nE            y: array(1.804934)\r\n\r\n/opt/python/cp36-cp36m/lib/python3.6/site-packages/numpy/testing/nose_tools/utils.py:706: AssertionError\r\n```\r\n\r\n@pllim - do you fancy investigating this? If you don\'t have time, I can take a look.'"
