number,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
7157,pr,,,,,[],14,5,"['astrofrog', 'mhvk', 'pllim', 'stscirij', 'saimn']"
7156,pr,,,,,[],5,4,"['duncanmmacleod', 'pllim', 'taldcroft', 'astrofrog']"
7153,pr,,,,,[],15,6,"['astrofrog', 'mhvk', 'stscirij', 'saimn', 'pllim', 'eteq']"
7148,pr,,,,,[],3,4,"['mhvk', 'jrthorstensen', 'astrofrog', 'pllim']"
7147,pr,,,,,[],3,3,"['taldcroft', 'bsipocz', 'mhvk']"
7145,issue,saimn,2018-02-05T17:19:56Z,#7157,close,[],22,9,"['stscirij', 'pllim', 'mhvk', 'eteq', 'aaryapatil', 'saimn', 'astrofrog', 'bsipocz', 'nden']"
7141,issue,astrofrog,2018-02-05T14:28:10Z,#7148,close,[],4,3,"['jrthorstensen', 'mhvk', 'astrofrog']"
7132,pr,,,,,[],5,3,"['astrofrog', 'bsipocz', 'pllim']"
7131,pr,,,,,[],4,3,"['pllim', 'bsipocz', 'astrofrog']"
7129,issue,astrofrog,2018-01-29T23:50:53Z,#7131,close,[],7,2,"['astrofrog', 'pllim']"
7128,issue,astrofrog,2018-01-30T15:05:55Z,#7126,close,[],2,2,"['astrofrog', 'saimn']"
7127,issue,astrofrog,2018-01-30T15:05:56Z,#7126,close,[],4,3,"['astrofrog', 'olebole', 'taldcroft']"
7107,pr,,,,,[],20,4,"['taldcroft', 'astrofrog', 'mhvk', 'bsipocz']"
7102,pr,,,,,[],3,2,"['pllim', 'bsipocz']"
7091,pr,,,,,[],6,3,"['drdavella', 'saimn', 'bsipocz']"
7081,issue,bsipocz,2018-01-22T17:41:05Z,#7082,close,[],2,2,"['eteq', 'bsipocz']"
7069,issue,bsipocz,2018-01-22T17:45:15Z,#7104,close,[],8,4,"['Cadair', 'pllim', 'eteq', 'astrofrog']"
7059,pr,,,,,[],7,3,"['adrn', 'pllim', 'eteq']"
7051,issue,bsipocz,2018-01-22T19:15:06Z,#7105,close,[],24,11,"['bengranett', 'pllim', 'mhvk', 'mzechmeister', 'saimn', 'jobovy', 'cdeil', 'bsipocz', 'eteq', 'rkpradhan', 'adrn']"
7049,issue,astrofrog,2018-01-30T12:19:12Z,#7107,close,[],7,4,"['astrofrog', 'vermashresth', 'saimn', 'taldcroft']"
7026,pr,,,,,[],5,3,"['mhvk', 'pllim', 'bsipocz']"
7023,pr,,,,,[],2,2,"['mhvk', 'eteq']"
7000,pr,,,,,[],8,4,"['e-koch', 'bsipocz', 'keflavich', 'pllim']"
6993,pr,,,,,[],5,4,"['agowardhan', 'astrofrog', 'saimn', 'pllim']"
6987,pr,,,,,[],7,4,"['pllim', 'adrn', 'eteq', 'bsipocz']"
6982,issue,eteq,2017-12-23T03:41:22Z,#6987,close,[],2,2,"['adrn', 'pllim']"
6976,pr,,,,,[],9,4,"['ricardogando', 'saimn', 'bsipocz', 'pllim']"
6969,pr,,,,,[],9,3,"['larrybradley', 'mhvk', 'bsipocz']"
6966,pr,,,,,[],5,3,"['mhvk', 'bsipocz', 'saimn']"
